raceid,keyrace,uncontested,first,last,gender,party,winner,votes,pct
ALH01,FALSE,FALSE,Bradley,Byrne,male,R,TRUE,152308,63.3
ALH01,FALSE,FALSE,Robert,Kennedy,male,D,FALSE,88365,36.7
ALH02,FALSE,FALSE,Martha,Roby,female,R,TRUE,138582,61.5
ALH02,FALSE,FALSE,Tabitha,Isner,female,D,FALSE,86581,38.5
ALH03,FALSE,FALSE,Mike,Rogers,male,R,TRUE,147481,63.8
ALH03,FALSE,FALSE,Mallory,Hagan,female,D,FALSE,83748,36.2
ALH04,FALSE,FALSE,Robert,Aderholt,male,R,TRUE,183968,79.9
ALH04,FALSE,FALSE,Lee,Auman,male,D,FALSE,46370,20.1
ALH05,FALSE,FALSE,Mo,Brooks,male,R,TRUE,158373,61.1
ALH05,FALSE,FALSE,Peter,Joffrion,male,D,FALSE,100778,38.9
ALH06,FALSE,FALSE,Gary,Palmer,male,R,TRUE,192227,69.3
ALH06,FALSE,FALSE,Danner,Kline,male,D,FALSE,85337,30.7
ALH07,FALSE,TRUE,Terri,Sewell,female,D,TRUE,184694,100
AKH01,FALSE,FALSE,Don,Young,male,R,TRUE,147614,53.4
AKH01,FALSE,FALSE,Alyse,Galvin,female,D,FALSE,128754,46.6
AZH01,TRUE,FALSE,Tom,O'Halleran,male,D,TRUE,143240,53.8
AZH01,TRUE,FALSE,Wendy,Rogers,female,R,FALSE,122784,46.2
AZH02,TRUE,FALSE,Ann,Kirkpatrick,female,D,TRUE,161000,54.7
AZH02,TRUE,FALSE,Lea,Marquez Peterson,female,R,FALSE,133083,45.3
AZH03,FALSE,FALSE,Raul,Grijalva,male,D,TRUE,114650,63.9
AZH03,FALSE,FALSE,Nick,Pierson,male,R,FALSE,64868,36.1
AZH04,FALSE,FALSE,Paul,Gosar,male,R,TRUE,188842,68.2
AZH04,FALSE,FALSE,David,Brill,male,D,FALSE,84521,30.5
AZH05,FALSE,FALSE,Andy,Biggs,male,R,TRUE,186037,59.4
AZH05,FALSE,FALSE,Joan,Greene,female,D,FALSE,127027,40.6
AZH06,TRUE,FALSE,David,Schweikert,male,R,TRUE,173140,55.2
AZH06,TRUE,FALSE,Anita,Malik,female,D,FALSE,140559,44.8
AZH07,FALSE,TRUE,Ruben,Gallego,male,D,TRUE,113043,85.8
AZH07,FALSE,TRUE,Gary,Swing,male,GR,FALSE,18706,14.2
AZH08,TRUE,FALSE,Debbie,Lesko,female,R,TRUE,168835,55.5
AZH08,TRUE,FALSE,Hiral,Tipirneni,female,D,FALSE,135569,44.5
AZH09,TRUE,FALSE,Greg,Stanton,male,D,TRUE,159583,61.1
AZH09,TRUE,FALSE,Steve,Ferrara,male,R,FALSE,101662,38.9
ARH01,FALSE,FALSE,Rick,Crawford,male,R,TRUE,138748,68.9
ARH01,FALSE,FALSE,Chintan,Desai,male,D,FALSE,57913,28.8
ARH02,TRUE,FALSE,French,Hill,male,R,TRUE,132122,52.1
ARH02,TRUE,FALSE,Clarke,Tucker,male,D,FALSE,116135,45.8
ARH03,FALSE,FALSE,Steve,Womack,male,R,TRUE,148717,64.8
ARH03,FALSE,FALSE,Joshua,Mahony,male,D,FALSE,74951,32.6
ARH04,FALSE,FALSE,Bruce,Westerman,male,R,TRUE,136727,66.8
ARH04,FALSE,FALSE,Hayden,Shamel,female,D,FALSE,63977,31.3
CAH01,FALSE,FALSE,Doug,LaMalfa,male,R,TRUE,155027,55.1
CAH01,FALSE,FALSE,Audrey,Denney,female,D,FALSE,126487,44.9
CAH02,FALSE,FALSE,Jared,Huffman,male,D,TRUE,181621,76.4
CAH02,FALSE,FALSE,Dale,Mensing,male,R,FALSE,56028,23.6
CAH03,FALSE,FALSE,John,Garamendi,male,D,TRUE,117931,57.1
CAH03,FALSE,FALSE,Charlie,Schaupp,male,R,FALSE,88523,42.9
CAH04,TRUE,FALSE,Tom,McClintock,male,R,TRUE,174008,54.3
CAH04,TRUE,FALSE,Jessica,Morse,female,D,FALSE,146339,45.7
CAH05,FALSE,TRUE,Mike,Thompson,male,D,TRUE,162947,78.4
CAH05,FALSE,TRUE,Anthony,Mills,male,O,FALSE,45023,21.6
CAH06,FALSE,TRUE,Doris,Matsui,female,D,TRUE,147259,80.9
CAH06,FALSE,TRUE,Jrmar,Jefferson,male,D,FALSE,34675,19.1
CAH07,FALSE,FALSE,Ami,Bera,male,D,TRUE,143342,54.8
CAH07,FALSE,FALSE,Andrew,Grant,male,R,FALSE,117998,45.2
CAH08,FALSE,TRUE,Paul,Cook,male,R,TRUE,95665,60.2
CAH08,FALSE,TRUE,Tim,Donnelly,male,R,FALSE,63257,39.8
CAH09,FALSE,FALSE,Jerry,McNerney,male,D,TRUE,102686,55.9
CAH09,FALSE,FALSE,Marla,Livengood,female,R,FALSE,81144,44.1
CAH10,TRUE,FALSE,Josh,Harder,male,D,TRUE,106200,51.6
CAH10,TRUE,FALSE,Jeff,Denham,male,R,FALSE,99595,48.4
CAH11,FALSE,FALSE,Mark,DeSaulnier,male,D,TRUE,186414,74
CAH11,FALSE,FALSE,John,Fitzgerald,male,R,FALSE,65520,26
CAH12,FALSE,FALSE,Nancy,Pelosi,female,D,TRUE,274991,86.8
CAH12,FALSE,FALSE,Lisa,Remmer,female,R,FALSE,41744,13.2
CAH13,FALSE,TRUE,Barbara,Lee,female,D,TRUE,260427,88.4
CAH13,FALSE,TRUE,Laura,Wells,female,GR,FALSE,34237,11.6
CAH14,FALSE,FALSE,Jackie,Speier,female,D,TRUE,184850,79
CAH14,FALSE,FALSE,Cristina,Osmena,female,R,FALSE,49239,21
CAH15,FALSE,FALSE,Eric,Swalwell,male,D,TRUE,176279,73
CAH15,FALSE,FALSE,Rudy,Peters,male,R,FALSE,65251,27
CAH16,FALSE,FALSE,Jim,Costa,male,D,TRUE,73375,56.5
CAH16,FALSE,FALSE,Elizabeth,Heng,female,R,FALSE,56577,43.5
CAH17,FALSE,FALSE,Ro,Khanna,male,D,TRUE,154796,75.2
CAH17,FALSE,FALSE,Ron,Cohen,male,R,FALSE,50922,24.8
CAH18,FALSE,FALSE,Anna,Eshoo,female,D,TRUE,212274,74.3
CAH18,FALSE,FALSE,Christine,Russell,female,R,FALSE,73505,25.7
CAH19,FALSE,FALSE,Zoe,Lofgren,female,D,TRUE,157285,73.7
CAH19,FALSE,FALSE,Justin,Aguilera,male,R,FALSE,56251,26.3
CAH20,FALSE,TRUE,Jimmy,Panetta,male,D,TRUE,169957,81.1
CAH20,FALSE,TRUE,Ronald,Kabat,male,O,FALSE,39494,18.9
CAH21,TRUE,FALSE,David,Valadao,male,R,TRUE,52312,50.5
CAH21,TRUE,FALSE,TJ,Cox,male,D,FALSE,51343,49.5
CAH22,FALSE,FALSE,Devin,Nunes,male,R,TRUE,108822,53.5
CAH22,FALSE,FALSE,Andrew,Janz,male,D,FALSE,94729,46.5
CAH23,FALSE,FALSE,Kevin,McCarthy,male,R,TRUE,126621,64.3
CAH23,FALSE,FALSE,Tatiana,Matta,female,D,FALSE,70413,35.7
CAH24,FALSE,FALSE,Salud,Carbajal,male,D,TRUE,154833,58
CAH24,FALSE,FALSE,Justin,Fareed,male,R,FALSE,111992,42
CAH25,TRUE,FALSE,Katie,Hill,female,D,TRUE,121336,53.6
CAH25,TRUE,FALSE,Steve,Knight,male,R,FALSE,105110,46.4
CAH26,FALSE,FALSE,Julia,Brownley,female,D,TRUE,143880,61.4
CAH26,FALSE,FALSE,Antonio,Sabato,male,R,FALSE,90334,38.6
CAH27,FALSE,TRUE,Judy,Chu,female,D,TRUE,152193,79.4
CAH27,FALSE,TRUE,Bryan,Witt,male,D,FALSE,39588,20.6
CAH28,FALSE,FALSE,Adam,Schiff,male,D,TRUE,184935,78.2
CAH28,FALSE,FALSE,Johnny,Nalbandian,male,R,FALSE,51677,21.8
CAH29,FALSE,FALSE,Tony,Cardenas,male,D,TRUE,115456,80.4
CAH29,FALSE,FALSE,Benito,Bernal,male,R,FALSE,28176,19.6
CAH30,FALSE,FALSE,Brad,Sherman,male,D,TRUE,180312,73.2
CAH30,FALSE,FALSE,Mark,Reed,male,R,FALSE,66070,26.8
CAH31,FALSE,FALSE,Pete,Aguilar,male,D,TRUE,99805,58
CAH31,FALSE,FALSE,Sean,Flynn,male,R,FALSE,72286,42
CAH32,FALSE,FALSE,Grace,Napolitano,female,D,TRUE,112836,68.4
CAH32,FALSE,FALSE,Joshua,Scott,male,R,FALSE,52068,31.6
CAH33,FALSE,FALSE,Ted,Lieu,male,D,TRUE,208173,69.9
CAH33,FALSE,FALSE,Kenneth,Wright,male,R,FALSE,89744,30.1
CAH34,FALSE,TRUE,Jimmy,Gomez,male,D,TRUE,101125,72.7
CAH34,FALSE,TRUE,Kenneth,Mejia,male,GR,FALSE,37992,27.3
CAH35,FALSE,FALSE,Norma,Torres,female,D,TRUE,93389,68.8
CAH35,FALSE,FALSE,Christian,Valiente,male,R,FALSE,42374,31.2
CAH36,FALSE,FALSE,Raul,Ruiz,male,D,TRUE,92475,57.8
CAH36,FALSE,FALSE,Kimberlin,Pelzer,female,R,FALSE,67486,42.2
CAH37,FALSE,FALSE,Karen,Bass,female,D,TRUE,196966,89
CAH37,FALSE,FALSE,Ron,Bassilian,male,R,FALSE,24274,11
CAH38,FALSE,FALSE,Linda,Sanchez,female,D,TRUE,128532,68.4
CAH38,FALSE,FALSE,Ryan,Downing,male,R,FALSE,59423,31.6
CAH39,TRUE,FALSE,Gil,Cisneros,male,D,TRUE,119805,51.2
CAH39,TRUE,FALSE,Young,Kim,female,R,FALSE,114284,48.8
CAH40,FALSE,TRUE,Lucille,Roybal-Allard,female,D,TRUE,83948,77.4
CAH40,FALSE,TRUE,Rodolfo,Barragan,male,GR,FALSE,24511,22.6
CAH41,FALSE,FALSE,Mark,Takano,male,D,TRUE,76554,62.4
CAH41,FALSE,FALSE,Aja,Smith,female,R,FALSE,46175,37.6
CAH42,FALSE,FALSE,Ken,Calvert,male,R,TRUE,101929,57.7
CAH42,FALSE,FALSE,Julia,Peacock,female,D,FALSE,74633,42.3
CAH43,FALSE,FALSE,Maxine,Waters,female,D,TRUE,139628,77.2
CAH43,FALSE,FALSE,Omar,Navarro,male,R,FALSE,41176,22.8
CAH44,FALSE,TRUE,Nanette,Barragan,female,D,TRUE,90223,69
CAH44,FALSE,TRUE,Aja,Brown,female,D,FALSE,40605,31
CAH45,TRUE,FALSE,Katie,Porter,female,D,TRUE,147944,51.7
CAH45,TRUE,FALSE,Mimi,Walters,female,R,FALSE,138346,48.3
CAH46,FALSE,FALSE,Lou,Correa,male,D,TRUE,96109,68.8
CAH46,FALSE,FALSE,Russell,Lambert,male,R,FALSE,43628,31.2
CAH47,FALSE,FALSE,Alan,Lowenthal,male,D,TRUE,133188,64.4
