,district,uncontested,116first,116last,116gender,116party,2018votes,2018pct,2018margin,congress,115last,115party,115trump_votes_y,115agree_pct,elasticity,pvi_538,trumpagree_-20,trumpagree_-15,trumpagree_-10,trumpagree_-5,trumpagree_0,trumpagree_5,trumpagree_10,trumpagree_15,trumpagree_20,ypreds_-20,ypreds_-15,ypreds_-10,ypreds_-5,ypreds_0,ypreds_5,ypreds_10,ypreds_15,ypreds_20
0,AL-01,False,Bradley,Byrne,1,R,152308,63.3,26.599999999999994,115,Byrne,R,96,0.9583333333333334,0.9,28.61,0.7666666666666667,0.8145833333333334,0.8625,0.9104166666666667,0.9583333333333334,1.00625,1.0541666666666667,1.1020833333333333,1.1500000000000001,37.74642521175326,37.74642521175326,37.877942453132576,37.877942453132576,37.877942453132576,37.877942453132576,38.8715375925654,38.8715375925654,38.8715375925654
1,AL-02,False,Martha,Roby,0,R,138582,61.5,23.0,115,Roby,R,95,0.9578947368421052,0.97,30.97,0.7663157894736842,0.8142105263157895,0.8621052631578947,0.9099999999999999,0.9578947368421052,1.0057894736842106,1.0536842105263158,1.101578947368421,1.1494736842105264,37.74642521175326,37.74642521175326,37.877942453132576,37.877942453132576,37.877942453132576,37.877942453132576,38.8715375925654,38.8715375925654,38.8715375925654
2,AL-03,False,Mike,Rogers,1,R,147481,63.8,27.599999999999994,115,Rogers,R,96,0.9583333333333334,0.79,31.37,0.7666666666666667,0.8145833333333334,0.8625,0.9104166666666667,0.9583333333333334,1.00625,1.0541666666666667,1.1020833333333333,1.1500000000000001,38.554546439894025,38.554546439894025,38.68606368127333,38.68606368127333,38.68606368127333,38.68606368127333,39.679658820706166,39.679658820706166,39.679658820706166
3,AL-04,False,Robert,Aderholt,1,R,183968,79.9,59.80000000000001,115,Aderholt,R,95,0.9684210526315792,0.86,59.81,0.7747368421052634,0.8231578947368423,0.8715789473684212,0.9200000000000003,0.9684210526315792,1.0168421052631582,1.0652631578947371,1.113684210526316,1.162105263157895,37.74642521175326,37.74642521175326,37.877942453132576,37.877942453132576,37.877942453132576,37.877942453132576,38.8715375925654,38.8715375925654,38.8715375925654
4,AL-05,False,Mo,Brooks,1,R,158373,61.1,22.20000000000001,115,Brooks,R,92,0.8369565217391305,1.0,32.81,0.6695652173913044,0.711413043478261,0.7532608695652174,0.795108695652174,0.8369565217391305,0.878804347826087,0.9206521739130435,0.9625,1.0043478260869565,37.74642521175326,37.74642521175326,37.74642521175326,37.74642521175326,37.74642521175326,37.877942453132576,37.877942453132576,37.877942453132576,37.877942453132576
5,AL-06,False,Gary,Palmer,1,R,192227,69.3,38.6,115,Palmer,R,94,0.9255319148936172,0.78,47.21,0.7404255319148938,0.7867021276595746,0.8329787234042555,0.8792553191489363,0.9255319148936172,0.9718085106382981,1.018085106382979,1.0643617021276597,1.1106382978723406,38.554546439894025,38.554546439894025,38.554546439894025,38.68606368127333,38.68606368127333,38.68606368127333,38.68606368127333,39.679658820706166,39.679658820706166
6,AL-07,True,Terri,Sewell,0,D,184694,100.0,-100.0,115,Sewell,D,93,0.2903225806451613,0.85,-41.69,0.23225806451612904,0.24677419354838712,0.26129032258064516,0.27580645161290324,0.2903225806451613,0.3048387096774194,0.31935483870967746,0.33387096774193553,0.34838709677419355,-66.33790730562792,-67.05152635324697,-67.05152635324697,-67.05152635324697,-67.05152635324697,-67.05152635324697,-67.05152635324697,-67.05152635324697,-66.00299821471883
7,AK-01,False,Don,Young,1,R,147614,53.4,6.799999999999998,115,Young,R,96,0.9270833333333334,1.16,15.21,0.7416666666666667,0.7880208333333334,0.8343750000000001,0.8807291666666667,0.9270833333333334,0.9734375000000001,1.0197916666666667,1.0661458333333333,1.1125,37.74642521175326,37.74642521175326,37.74642521175326,37.877942453132576,37.877942453132576,37.877942453132576,37.877942453132576,38.8715375925654,38.8715375925654
8,AZ-01,False,Tom,O'Halleran,1,D,143240,53.8,-7.599999999999994,115,O’Halleran,D,96,0.5416666666666666,1.05,5.56,0.4333333333333333,0.46041666666666664,0.4875,0.5145833333333333,0.5416666666666666,0.56875,0.5958333333333333,0.6229166666666667,0.6499999999999999,37.41737726654779,37.41737726654779,37.41737726654779,37.41737726654779,37.41737726654779,37.41737726654779,37.41737726654779,37.41737726654779,37.74642521175326
9,AZ-02,False,Ann,Kirkpatrick,0,D,161000,54.7,-9.400000000000006,115,McSally,R,96,0.96875,0.94,1.22,0.775,0.8234375,0.871875,0.9203125,0.96875,1.0171875,1.065625,1.1140625,1.1625,28.311925008559705,28.311925008559705,28.44344224993901,28.44344224993901,28.44344224993901,28.44344224993901,29.43703738937185,29.43703738937185,29.43703738937185
10,AZ-03,False,Raul,Grijalva,1,D,114650,63.9,-27.8,115,Grijalva,D,96,0.10416666666666667,1.08,-24.11,0.08333333333333334,0.08854166666666667,0.09375,0.09895833333333334,0.10416666666666667,0.109375,0.11458333333333334,0.11979166666666667,0.125,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531
11,AZ-04,False,Paul,Gosar,1,R,188842,68.2,36.40000000000001,115,Gosar,R,90,0.7777777777777778,1.12,42.86,0.6222222222222222,0.6611111111111111,0.7,0.7388888888888889,0.7777777777777778,0.8166666666666667,0.8555555555555556,0.8944444444444445,0.9333333333333333,37.41737726654779,37.74642521175326,37.74642521175326,37.74642521175326,37.74642521175326,37.74642521175326,37.877942453132576,37.877942453132576,37.877942453132576
12,AZ-05,False,Andy,Biggs,1,R,186037,59.4,18.8,115,Biggs,R,96,0.7291666666666666,1.1,27.79,0.5833333333333333,0.6197916666666666,0.65625,0.6927083333333333,0.7291666666666666,0.765625,0.8020833333333333,0.8385416666666666,0.875,37.41737726654779,37.41737726654779,37.74642521175326,37.74642521175326,37.74642521175326,37.74642521175326,37.74642521175326,37.74642521175326,37.877942453132576
13,AZ-06,False,David,Schweikert,1,R,173140,55.2,10.400000000000006,115,Schweikert,R,96,0.8958333333333334,1.09,17.56,0.7166666666666667,0.7614583333333333,0.80625,0.8510416666666667,0.8958333333333334,0.940625,0.9854166666666667,1.0302083333333334,1.075,37.74642521175326,37.74642521175326,37.74642521175326,37.877942453132576,37.877942453132576,37.877942453132576,37.877942453132576,38.8715375925654,38.8715375925654
14,AZ-07,True,Ruben,Gallego,1,D,113043,85.8,-71.6,115,Gallego,D,94,0.1702127659574468,1.13,-43.88,0.13617021276595745,0.14468085106382977,0.15319148936170213,0.16170212765957445,0.1702127659574468,0.17872340425531916,0.18723404255319148,0.19574468085106383,0.20425531914893616,-67.10875315765531,-67.10875315765531,-68.11790476469871,-68.11790476469871,-68.11790476469871,-68.11790476469871,-68.11790476469871,-68.11790476469871,-67.56085284361875
15,AZ-08,False,Debbie,Lesko,0,R,168835,55.5,11.0,115,Franks,R,56,0.9285714285714286,1.01,26.32,0.7428571428571429,0.7892857142857144,0.8357142857142857,0.8821428571428571,0.9285714285714286,0.9750000000000001,1.0214285714285714,1.0678571428571428,1.1142857142857143,37.74642521175326,37.74642521175326,37.74642521175326,37.877942453132576,37.877942453132576,37.877942453132576,37.877942453132576,38.8715375925654,38.8715375925654
16,AZ-08,False,Debbie,Lesko,0,R,168835,55.5,11.0,115,Lesko,R,25,0.92,1.01,26.32,0.736,0.782,0.8280000000000001,0.874,0.92,0.9660000000000001,1.012,1.058,1.104,37.74642521175326,37.74642521175326,37.74642521175326,37.877942453132576,37.877942453132576,37.877942453132576,37.877942453132576,38.8715375925654,38.8715375925654
17,AZ-09,False,Greg,Stanton,1,D,159583,61.1,-22.20000000000001,115,Sinema,D,91,0.6263736263736264,0.95,-8.38,0.5010989010989011,0.5324175824175824,0.5637362637362637,0.595054945054945,0.6263736263736264,0.6576923076923077,0.689010989010989,0.7203296703296703,0.7516483516483516,-66.17352202424264,-66.17352202424264,-66.17352202424264,-66.17352202424264,-66.17352202424264,-65.43160623476896,-65.43160623476896,-65.43160623476896,-65.43160623476896
18,AR-01,False,Rick,Crawford,1,R,138748,68.9,37.80000000000001,115,Crawford,R,95,0.9789473684210528,1.06,30.0,0.7831578947368423,0.8321052631578949,0.8810526315789475,0.9300000000000002,0.9789473684210528,1.0278947368421054,1.076842105263158,1.1257894736842107,1.1747368421052633,37.74642521175326,37.74642521175326,37.877942453132576,37.877942453132576,37.877942453132576,38.8715375925654,38.8715375925654,38.8715375925654,38.8715375925654
19,AR-02,False,French,Hill,1,R,132122,52.1,4.200000000000003,115,Hill,R,95,0.9684210526315792,0.97,9.63,0.7747368421052634,0.8231578947368423,0.8715789473684212,0.9200000000000003,0.9684210526315792,1.0168421052631582,1.0652631578947371,1.113684210526316,1.162105263157895,37.74642521175326,37.74642521175326,37.877942453132576,37.877942453132576,37.877942453132576,37.877942453132576,38.8715375925654,38.8715375925654,38.8715375925654
20,AR-03,False,Steve,Womack,1,R,148717,64.8,29.599999999999994,115,Womack,R,96,0.9895833333333334,1.0,30.8,0.7916666666666667,0.8411458333333334,0.890625,0.9401041666666667,0.9895833333333334,1.0390625,1.0885416666666667,1.1380208333333335,1.1875,37.74642521175326,37.74642521175326,37.877942453132576,37.877942453132576,37.877942453132576,38.8715375925654,38.8715375925654,38.8715375925654,38.8715375925654
21,AR-04,False,Bruce,Westerman,1,R,136727,66.8,33.599999999999994,115,Westerman,R,96,0.9375,0.97,29.13,0.75,0.796875,0.84375,0.890625,0.9375,0.984375,1.03125,1.078125,1.125,37.74642521175326,37.74642521175326,37.74642521175326,37.877942453132576,37.877942453132576,37.877942453132576,38.8715375925654,38.8715375925654,38.8715375925654
22,CA-01,False,Doug,LaMalfa,1,R,155027,55.1,10.200000000000003,115,LaMalfa,R,95,0.9578947368421052,1.11,22.53,0.7663157894736842,0.8142105263157895,0.8621052631578947,0.9099999999999999,0.9578947368421052,1.0057894736842106,1.0536842105263158,1.101578947368421,1.1494736842105264,37.74642521175326,37.74642521175326,37.877942453132576,37.877942453132576,37.877942453132576,37.877942453132576,38.8715375925654,38.8715375925654,38.8715375925654
23,CA-02,False,Jared,Huffman,1,D,181621,76.4,-52.80000000000001,115,Huffman,D,92,0.16304347826086954,0.76,-40.5,0.13043478260869562,0.1385869565217391,0.1467391304347826,0.15489130434782605,0.16304347826086954,0.17119565217391303,0.17934782608695649,0.18749999999999997,0.19565217391304346,-67.10875315765531,-67.10875315765531,-68.11790476469871,-68.11790476469871,-68.11790476469871,-68.11790476469871,-68.11790476469871,-68.11790476469871,-68.11790476469871
24,CA-03,False,John,Garamendi,1,D,117931,57.1,-14.200000000000005,115,Garamendi,D,95,0.2842105263157895,1.0,-8.17,0.2273684210526316,0.24157894736842112,0.25578947368421057,0.2700000000000001,0.2842105263157895,0.298421052631579,0.3126315789473685,0.32684210526315793,0.34105263157894744,-66.33790730562792,-66.33790730562792,-67.05152635324697,-67.05152635324697,-67.05152635324697,-67.05152635324697,-67.05152635324697,-67.05152635324697,-67.05152635324697
25,CA-04,False,Tom,McClintock,1,R,174008,54.3,8.599999999999994,115,McClintock,R,95,0.8105263157894737,1.11,19.9,0.6484210526315789,0.6889473684210526,0.7294736842105263,0.77,0.8105263157894737,0.8510526315789473,0.891578947368421,0.9321052631578947,0.9726315789473684,37.74642521175326,37.74642521175326,37.74642521175326,37.74642521175326,37.74642521175326,37.877942453132576,37.877942453132576,37.877942453132576,37.877942453132576
26,CA-05,True,Mike,Thompson,1,D,162947,78.4,-56.80000000000001,115,Thompson,D,93,0.2258064516129032,0.83,-40.03,0.18064516129032254,0.1919354838709677,0.20322580645161287,0.21451612903225803,0.2258064516129032,0.23709677419354835,0.24838709677419352,0.2596774193548387,0.27096774193548384,-68.11790476469871,-68.11790476469871,-68.11790476469871,-66.33790730562792,-66.33790730562792,-66.33790730562792,-67.05152635324697,-67.05152635324697,-67.05152635324697
27,CA-06,True,Doris,Matsui,0,D,147259,80.9,-61.80000000000001,115,Matsui,D,95,0.17894736842105266,0.86,-39.5,0.14315789473684212,0.15210526315789477,0.1610526315789474,0.17000000000000004,0.17894736842105266,0.18789473684210528,0.19684210526315793,0.20578947368421055,0.2147368421052632,-67.10875315765531,-68.11790476469871,-68.11790476469871,-68.11790476469871,-68.11790476469871,-68.11790476469871,-68.11790476469871,-67.56085284361875,-66.33790730562792
28,CA-07,False,Ami,Bera,1,D,143342,54.8,-9.599999999999994,115,Bera,D,96,0.3854166666666667,0.9,-4.97,0.30833333333333335,0.3276041666666667,0.34687500000000004,0.36614583333333334,0.3854166666666667,0.40468750000000003,0.4239583333333333,0.4432291666666667,0.4625,-67.05152635324697,-67.05152635324697,-66.00299821471883,-66.00299821471883,-66.17352202424264,-66.17352202424264,-66.17352202424264,-66.17352202424264,-66.17352202424264
29,CA-08,True,Paul,Cook,1,R,95665,60.2,20.400000000000006,115,Cook,R,96,0.9791666666666666,0.97,18.67,0.7833333333333333,0.8322916666666667,0.88125,0.9302083333333333,0.9791666666666666,1.028125,1.0770833333333334,1.1260416666666666,1.175,37.74642521175326,37.74642521175326,37.877942453132576,37.877942453132576,37.877942453132576,38.8715375925654,38.8715375925654,38.8715375925654,38.8715375925654
30,CA-09,False,Jerry,McNerney,1,D,102686,55.9,-11.799999999999995,115,McNerney,D,93,0.1935483870967742,0.95,-14.33,0.15483870967741936,0.16451612903225807,0.17419354838709677,0.18387096774193548,0.1935483870967742,0.2032258064516129,0.2129032258064516,0.2225806451612903,0.23225806451612901,-68.11790476469871,-68.11790476469871,-68.11790476469871,-68.11790476469871,-68.11790476469871,-68.11790476469871,-67.56085284361875,-66.33790730562792,-66.33790730562792
31,CA-10,False,Josh,Harder,1,D,106200,51.6,-3.200000000000003,115,Denham,R,95,0.9789473684210528,1.08,0.77,0.7831578947368423,0.8321052631578949,0.8810526315789475,0.9300000000000002,0.9789473684210528,1.0278947368421054,1.076842105263158,1.1257894736842107,1.1747368421052633,21.252020971992255,21.252020971992255,21.383538213371573,21.383538213371573,21.383538213371573,21.83063767156536,21.83063767156536,21.83063767156536,21.83063767156536
32,CA-11,False,Mark,DeSaulnier,1,D,186414,74.0,-48.0,115,DeSaulnier,D,94,0.10638297872340426,1.0,-41.1,0.0851063829787234,0.09042553191489362,0.09574468085106383,0.10106382978723405,0.10638297872340426,0.11170212765957446,0.11702127659574468,0.12234042553191489,0.1276595744680851,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531,-67.10875315765531
33,CA-12,False,Nancy,Pelosi,0,D,274991,86.8,-73.6,115,Pelosi,D,91,0.2087912087912088,0.83,-71.57,0.16703296703296705,0.17747252747252748,0.1879120879120879,0.19835164835164837,0.2087912087912088,0.21923076923076923,0.2296703296703297,0.24010989010989012,0.25054945054945055,-68.11790476469871,-68.11790476469871,-68.11790476469871,-68.11790476469871,-67.56085284361875,-66.33790730562792,-66.33790730562792,-66.33790730562792,-67.05152635324697
