congress,chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
0,house,A000055,Aderholt,AL,4,Republican,107,0.9719626168224299,0.95001101,63
115,house,A000055,Aderholt,AL,4,R,95,0.968421052631579,0.94634916,63
116,house,A000055,Aderholt,AL,4,R,12,1,0.97900065,63
0,house,A000367,Amash,MI,3,Republican,108,0.5925925925925926,0.81467517,9.4
115,house,A000367,Amash,MI,3,R,96,0.5416666666666666,0.84738551,9.4
116,house,A000367,Amash,MI,3,R,12,1,0.55299241,9.4
0,house,A000369,Amodei,NV,2,Republican,106,0.9905660377358491,0.85439666,12.3
115,house,A000369,Amodei,NV,2,R,94,0.9893617021276596,0.87652676,12.3
116,house,A000369,Amodei,NV,2,R,12,1,0.68104418,12.3
0,house,A000370,Adams,NC,12,Democrat,104,0.15384615384615385,0.18028015,-40
115,house,A000370,Adams,NC,12,D,92,0.17391304347826086,0.20378724,-40
116,house,A000370,Adams,NC,12,D,12,0,5.918e-5,-40
0,house,A000371,Aguilar,CA,31,Democrat,106,0.24528301886792453,0.27867336,-21.1
115,house,A000371,Aguilar,CA,31,D,94,0.2765957446808511,0.31386763,-21.1
116,house,A000371,Aguilar,CA,31,D,12,0,0.0029849,-21.1
0,house,A000372,Allen,GA,12,Republican,107,0.9719626168224299,0.89481727,16.2
115,house,A000372,Allen,GA,12,R,95,0.968421052631579,0.90578921,16.2
116,house,A000372,Allen,GA,12,R,12,1,0.80795614,16.2
0,house,A000374,Abraham,LA,5,Republican,104,0.9326923076923077,0.94295461,29.4
115,house,A000374,Abraham,LA,5,R,96,0.9270833333333334,0.9458395,29.4
116,house,A000374,Abraham,LA,5,R,8,1,0.90833594,29.4
0,house,A000375,Arrington,TX,19,Republican,107,0.9626168224299065,0.9510927,49
115,house,A000375,Arrington,TX,19,R,95,0.968421052631579,0.94961009,49
116,house,A000375,Arrington,TX,19,R,12,0.9166666666666666,0.96282996,49
0,house,A000376,Allred,TX,32,Democrat,12,0,0.11278988,-1.9
116,house,A000376,Allred,TX,32,D,12,0,0.11278988,-1.9
0,house,A000377,Armstrong,ND,0,Republican,12,0.9166666666666666,0.94503213,35.72888837
116,house,A000377,Armstrong,ND,0,R,12,0.9166666666666666,0.94503213,35.72888837
0,house,A000378,Axne,IA,3,Democrat,12,0,0.27845049,3.5
116,house,A000378,Axne,IA,3,D,12,0,0.27845049,3.5
0,house,B000213,Barton,TX,6,Republican,92,0.9239130434782609,0.87643124,12.3
115,house,B000213,Barton,TX,6,R,92,0.9239130434782609,0.87643124,12.3
0,house,B000287,Becerra,CA,34,Democrat,1,0,1.4e-7,-72.9
115,house,B000287,Becerra,CA,34,D,1,0,1.4e-7,-72.9
0,house,B000490,Bishop,GA,2,Democrat,105,0.4,0.40182248,-11.7
115,house,B000490,Bishop,GA,2,D,93,0.45161290322580644,0.45128279,-11.7
116,house,B000490,Bishop,GA,2,D,12,0,0.01850514,-11.7
0,house,B000574,Blumenauer,OR,3,Democrat,102,0.1568627450980392,0.1708456,-48.2
115,house,B000574,Blumenauer,OR,3,D,91,0.17582417582417584,0.19149721,-48.2
116,house,B000574,Blumenauer,OR,3,D,11,0,4.7e-7,-48.2
0,house,B000755,Brady,TX,8,Republican,108,0.9907407407407407,0.95154522,48.8
115,house,B000755,Brady,TX,8,R,96,0.9895833333333334,0.95016617,48.8
116,house,B000755,Brady,TX,8,R,12,1,0.96257763,48.8
0,house,B001227,Brady,PA,1,Democrat,93,0.17204301075268819,0.16459382,-61.3
115,house,B001227,Brady,PA,1,D,93,0.17204301075268819,0.16459382,-61.3
115,house,B001243,Blackburn,TN,7,R,87,0.9195402298850575,0.94563949,39.3
0,house,B001248,Burgess,TX,26,Republican,106,0.9528301886792453,0.93921846,26.5
115,house,B001248,Burgess,TX,26,R,94,0.9574468085106383,0.94107564,26.5
116,house,B001248,Burgess,TX,26,R,12,0.9166666666666666,0.92467054,26.5
0,house,B001250,Bishop,UT,1,Republican,105,0.9523809523809523,0.94045791,27.3
115,house,B001250,Bishop,UT,1,R,93,0.956989247311828,0.94214025,27.3
116,house,B001250,Bishop,UT,1,R,12,0.9166666666666666,0.92741977,27.3
0,house,B001251,Butterfield,NC,1,Democrat,106,0.18867924528301888,0.19128488,-37
115,house,B001251,Butterfield,NC,1,D,94,0.2127659574468085,0.21569132,-37
116,house,B001251,Butterfield,NC,1,D,12,0,1.0105e-4,-37
0,house,B001257,Bilirakis,FL,12,Republican,107,0.9719626168224299,0.91462323,18.6
115,house,B001257,Bilirakis,FL,12,R,95,0.9789473684210527,0.92184181,18.6
116,house,B001257,Bilirakis,FL,12,R,12,0.9166666666666666,0.85747608,18.6
0,house,B001260,Buchanan,FL,16,Republican,102,0.9607843137254902,0.83155857,10.7
115,house,B001260,Buchanan,FL,16,R,90,0.9666666666666667,0.86069026,10.7
116,house,B001260,Buchanan,FL,16,R,12,0.9166666666666666,0.61307095,10.7
0,house,B001269,Barletta,PA,11,Republican,92,0.9782608695652174,0.93672465,23.8
115,house,B001269,Barletta,PA,11,R,92,0.9782608695652174,0.93672465,23.8
0,house,B001270,Bass,CA,37,Democrat,99,0.1111111111111111,0.123804,-76.1
115,house,B001270,Bass,CA,37,D,87,0.12643678160919541,0.14088039,-76.1
116,house,B001270,Bass,CA,37,D,12,0,1.6e-7,-76.1
0,house,B001273,Black,TN,6,Republican,78,0.9358974358974359,0.95902609,48.9
115,house,B001273,Black,TN,6,R,78,0.9358974358974359,0.95902609,48.9
0,house,B001274,Brooks,AL,5,Republican,104,0.8557692307692307,0.94653934,33.4
115,house,B001274,Brooks,AL,5,R,92,0.8369565217391305,0.94722233,33.4
116,house,B001274,Brooks,AL,5,R,12,1,0.94130305,33.4
0,house,B001275,Bucshon,IN,8,Republican,105,0.9809523809523809,0.94677827,33.7
115,house,B001275,Bucshon,IN,8,R,96,0.9895833333333334,0.94905825,33.7
116,house,B001275,Bucshon,IN,8,R,9,0.8888888888888888,0.92245846,33.7
0,house,B001278,Bonamici,OR,1,Democrat,107,0.17757009345794392,0.26171806,-22.8
115,house,B001278,Bonamici,OR,1,D,95,0.2,0.29451476,-22.8
116,house,B001278,Bonamici,OR,1,D,12,0,0.00207756,-22.8
0,house,B001281,Beatty,OH,3,Democrat,104,0.17307692307692307,0.18230163,-38.4
115,house,B001281,Beatty,OH,3,D,92,0.1956521739130435,0.2060699,-38.4
116,house,B001281,Beatty,OH,3,D,12,0,7.826e-5,-38.4
0,house,B001282,Barr,KY,6,Republican,108,0.9629629629629629,0.88804701,15.3
115,house,B001282,Barr,KY,6,R,96,0.96875,0.90105912,15.3
116,house,B001282,Barr,KY,6,R,12,0.9166666666666666,0.78395019,15.3
0,house,B001283,Bridenstine,OK,1,Republican,52,0.9423076923076923,0.95711151,28.7
115,house,B001283,Bridenstine,OK,1,R,52,0.9423076923076923,0.95711151,28.7
0,house,B001284,Brooks,IN,5,Republican,108,0.9814814814814815,0.84934722,11.8
115,house,B001284,Brooks,IN,5,R,96,0.9895833333333334,0.87293384,11.8
116,house,B001284,Brooks,IN,5,R,12,0.9166666666666666,0.66065425,11.8
0,house,B001285,Brownley,CA,26,Democrat,104,0.28846153846153844,0.2659839,-21.9
115,house,B001285,Brownley,CA,26,D,92,0.32608695652173914,0.30034879,-21.9
116,house,B001285,Brownley,CA,26,D,12,0,0.00251981,-21.9
0,house,B001286,Bustos,IL,17,Democrat,107,0.32710280373831774,0.64622562,0.7
115,house,B001286,Bustos,IL,17,D,95,0.3684210526315789,0.70528738,0.7
116,house,B001286,Bustos,IL,17,D,12,0,0.17865333,0.7
0,house,B001287,Bera,CA,7,Democrat,108,0.3425925925925926,0.40831555,-11.4
115,house,B001287,Bera,CA,7,D,96,0.3854166666666667,0.45691205,-11.4
116,house,B001287,Bera,CA,7,D,12,0,0.01954348,-11.4
0,house,B001289,Byrne,AL,1,Republican,108,0.9629629629629629,0.94444388,29.4
115,house,B001289,Byrne,AL,1,R,96,0.9583333333333334,0.9458395,29.4
116,house,B001289,Byrne,AL,1,R,12,1,0.93327895,29.4
0,house,B001290,Brat,VA,7,Republican,95,0.8842105263157894,0.80768775,6.5
115,house,B001290,Brat,VA,7,R,95,0.8842105263157894,0.80768775,6.5
0,house,B001291,Babin,TX,36,Republican,106,0.9528301886792453,0.95266648,46.8
115,house,B001291,Babin,TX,36,R,94,0.9468085106382979,0.95172585,46.8
116,house,B001291,Babin,TX,36,R,12,1,0.96003473,46.8
0,house,B001292,Beyer,VA,8,Democrat,103,0.17475728155339806,0.14941399,-52.6
115,house,B001292,Beyer,VA,8,D,91,0.1978021978021978,0.16911584,-52.6
116,house,B001292,Beyer,VA,8,D,12,0,8.31e-6,-52.6
0,house,B001293,Bishop,MI,8,Republican,95,0.9789473684210527,0.81057761,6.7
115,house,B001293,Bishop,MI,8,R,95,0.9789473684210527,0.81057761,6.7
0,house,B001294,Blum,IA,1,Republican,93,0.9247311827956989,0.76057766,3.5
115,house,B001294,Blum,IA,1,R,93,0.9247311827956989,0.76057766,3.5
0,house,B001295,Bost,IL,12,Republican,107,0.9813084112149533,0.88291722,14.8
115,house,B001295,Bost,IL,12,R,95,0.9894736842105263,0.89727638,14.8
116,house,B001295,Bost,IL,12,R,12,0.9166666666666666,0.76924053,14.8
0,house,B001296,Boyle,PA,2,Democrat,106,0.1792452830188679,0.20274984,-48
115,house,B001296,Boyle,PA,13,D,94,0.20212765957446807,0.22863067,-33.6
116,house,B001296,Boyle,PA,2,D,12,0,1.67e-5,-48
0,house,B001297,Buck,CO,4,Republican,105,0.8571428571428571,0.93173484,23.1
115,house,B001297,Buck,CO,4,R,94,0.851063829787234,0.93541675,23.1
116,house,B001297,Buck,CO,4,R,11,0.9090909090909091,0.90027124,23.1
0,house,B001298,Bacon,NE,2,Republican,108,0.9722222222222222,0.68040495,2.2
115,house,B001298,Bacon,NE,2,R,96,0.9791666666666666,0.73689927,2.2
116,house,B001298,Bacon,NE,2,R,12,0.9166666666666666,0.22845041,2.2
0,house,B001299,Banks,IN,3,Republican,108,0.9444444444444444,0.94899699,35
115,house,B001299,Banks,IN,3,R,96,0.9479166666666666,0.94963284,35
116,house,B001299,Banks,IN,3,R,12,0.9166666666666666,0.94391015,35
